method,q,rho0,discoveries,rep_precision
BH,0.01,0.5,17,0.9411764705882353
BH,0.01,0.7,17,0.9411764705882353
BH,0.01,0.9,17,0.9411764705882353
BH,0.01,0.5,17,0.9333333333333333
BH,0.01,0.7,17,0.9333333333333333
BH,0.01,0.9,17,0.9333333333333333
BH,0.05,0.5,29,0.8620689655172413
BH,0.05,0.7,29,0.8620689655172413
BH,0.05,0.9,25,0.92
BH,0.05,0.5,29,0.8571428571428571
BH,0.05,0.7,29,0.8571428571428571
BH,0.05,0.9,25,0.92
BH,0.1,0.5,38,0.8947368421052632
BH,0.1,0.7,38,0.8947368421052632
BH,0.1,0.9,25,0.92
BH,0.1,0.5,38,0.8571428571428571
BH,0.1,0.7,38,0.8571428571428571
BH,0.1,0.9,25,0.92
BY,0.01,0.5,17,0.9411764705882353
BY,0.01,0.7,17,0.9411764705882353
BY,0.01,0.9,17,0.9411764705882353
BY,0.01,0.5,17,0.9333333333333333
BY,0.01,0.7,17,0.9333333333333333
BY,0.01,0.9,17,0.9333333333333333
BY,0.05,0.5,29,0.8620689655172413
BY,0.05,0.7,29,0.8620689655172413
BY,0.05,0.9,25,0.92
BY,0.05,0.5,29,0.8571428571428571
BY,0.05,0.7,29,0.8571428571428571
BY,0.05,0.9,25,0.92
BY,0.1,0.5,38,0.8947368421052632
BY,0.1,0.7,38,0.8947368421052632
BY,0.1,0.9,25,0.92
BY,0.1,0.5,38,0.8571428571428571
BY,0.1,0.7,38,0.8571428571428571
BY,0.1,0.9,25,0.92
Storey,0.01,0.5,17,0.9411764705882353
Storey,0.01,0.7,17,0.9411764705882353
Storey,0.01,0.9,17,0.9411764705882353
Storey,0.01,0.5,17,0.9333333333333333
Storey,0.01,0.7,17,0.9333333333333333
Storey,0.01,0.9,17,0.9333333333333333
Storey,0.05,0.5,29,0.8620689655172413
Storey,0.05,0.7,29,0.8620689655172413
Storey,0.05,0.9,25,0.92
Storey,0.05,0.5,29,0.8571428571428571
Storey,0.05,0.7,29,0.8571428571428571
Storey,0.05,0.9,25,0.92
Storey,0.1,0.5,38,0.8947368421052632
Storey,0.1,0.7,38,0.8947368421052632
Storey,0.1,0.9,25,0.92
Storey,0.1,0.5,38,0.8571428571428571
Storey,0.1,0.7,38,0.8571428571428571
Storey,0.1,0.9,25,0.92
RobustEL,0.01,0.5,17,0.9411764705882353
RobustEL,0.01,0.7,17,0.9411764705882353
RobustEL,0.01,0.9,17,0.9411764705882353
RobustEL,0.01,0.5,17,0.9333333333333333
RobustEL,0.01,0.7,17,0.9333333333333333
RobustEL,0.01,0.9,17,0.9333333333333333
RobustEL,0.05,0.5,29,0.8620689655172413
RobustEL,0.05,0.7,29,0.8620689655172413
RobustEL,0.05,0.9,25,0.92
RobustEL,0.05,0.5,29,0.8571428571428571
RobustEL,0.05,0.7,29,0.8571428571428571
RobustEL,0.05,0.9,25,0.92
RobustEL,0.1,0.5,38,0.8947368421052632
RobustEL,0.1,0.7,38,0.8947368421052632
RobustEL,0.1,0.9,25,0.92
RobustEL,0.1,0.5,38,0.8571428571428571
RobustEL,0.1,0.7,38,0.8571428571428571
RobustEL,0.1,0.9,25,0.92
