method,q,rho0,discoveries,rep_precision
BH,0.01,0.5,17,0.9411764705882353
BH,0.01,0.6,17,0.9411764705882353
BH,0.01,0.7,17,0.9411764705882353
BH,0.01,0.8,17,0.9411764705882353
BH,0.01,0.5,17,0.9333333333333333
BH,0.01,0.6,17,0.9333333333333333
BH,0.01,0.7,17,0.9333333333333333
BH,0.01,0.8,17,0.9333333333333333
BH,0.03,0.5,24,0.9583333333333334
BH,0.03,0.6,24,0.9583333333333334
BH,0.03,0.7,24,0.9583333333333334
BH,0.03,0.8,24,0.9583333333333334
BH,0.03,0.5,24,0.9333333333333333
BH,0.03,0.6,24,0.9333333333333333
BH,0.03,0.7,24,0.9333333333333333
BH,0.03,0.8,24,0.9333333333333333
BH,0.05,0.5,29,0.8620689655172413
BH,0.05,0.6,29,0.8620689655172413
BH,0.05,0.7,29,0.8620689655172413
BH,0.05,0.8,29,0.8620689655172413
BH,0.05,0.5,29,0.8571428571428571
BH,0.05,0.6,29,0.8571428571428571
BH,0.05,0.7,29,0.8571428571428571
BH,0.05,0.8,29,0.8571428571428571
BH,0.1,0.5,38,0.8947368421052632
BH,0.1,0.6,38,0.8947368421052632
BH,0.1,0.7,38,0.8947368421052632
BH,0.1,0.8,38,0.8947368421052632
BH,0.1,0.5,38,0.8571428571428571
BH,0.1,0.6,38,0.8571428571428571
BH,0.1,0.7,38,0.8571428571428571
BH,0.1,0.8,38,0.8571428571428571
BY,0.01,0.5,17,0.9411764705882353
BY,0.01,0.6,17,0.9411764705882353
BY,0.01,0.7,17,0.9411764705882353
BY,0.01,0.8,17,0.9411764705882353
BY,0.01,0.5,17,0.9333333333333333
BY,0.01,0.6,17,0.9333333333333333
BY,0.01,0.7,17,0.9333333333333333
BY,0.01,0.8,17,0.9333333333333333
BY,0.03,0.5,24,0.9583333333333334
BY,0.03,0.6,24,0.9583333333333334
BY,0.03,0.7,24,0.9583333333333334
BY,0.03,0.8,24,0.9583333333333334
BY,0.03,0.5,24,0.9333333333333333
BY,0.03,0.6,24,0.9333333333333333
BY,0.03,0.7,24,0.9333333333333333
BY,0.03,0.8,24,0.9333333333333333
BY,0.05,0.5,29,0.8620689655172413
BY,0.05,0.6,29,0.8620689655172413
BY,0.05,0.7,29,0.8620689655172413
BY,0.05,0.8,29,0.8620689655172413
BY,0.05,0.5,29,0.8571428571428571
BY,0.05,0.6,29,0.8571428571428571
BY,0.05,0.7,29,0.8571428571428571
BY,0.05,0.8,29,0.8571428571428571
BY,0.1,0.5,38,0.8947368421052632
BY,0.1,0.6,38,0.8947368421052632
BY,0.1,0.7,38,0.8947368421052632
BY,0.1,0.8,38,0.8947368421052632
BY,0.1,0.5,38,0.8571428571428571
BY,0.1,0.6,38,0.8571428571428571
BY,0.1,0.7,38,0.8571428571428571
BY,0.1,0.8,38,0.8571428571428571
Storey,0.01,0.5,17,0.9411764705882353
Storey,0.01,0.6,17,0.9411764705882353
Storey,0.01,0.7,17,0.9411764705882353
Storey,0.01,0.8,17,0.9411764705882353
Storey,0.01,0.5,17,0.9333333333333333
Storey,0.01,0.6,17,0.9333333333333333
Storey,0.01,0.7,17,0.9333333333333333
Storey,0.01,0.8,17,0.9333333333333333
Storey,0.03,0.5,24,0.9583333333333334
Storey,0.03,0.6,24,0.9583333333333334
Storey,0.03,0.7,24,0.9583333333333334
Storey,0.03,0.8,24,0.9583333333333334
Storey,0.03,0.5,24,0.9333333333333333
Storey,0.03,0.6,24,0.9333333333333333
Storey,0.03,0.7,24,0.9333333333333333
Storey,0.03,0.8,24,0.9333333333333333
Storey,0.05,0.5,29,0.8620689655172413
Storey,0.05,0.6,29,0.8620689655172413
Storey,0.05,0.7,29,0.8620689655172413
Storey,0.05,0.8,29,0.8620689655172413
Storey,0.05,0.5,29,0.8571428571428571
Storey,0.05,0.6,29,0.8571428571428571
Storey,0.05,0.7,29,0.8571428571428571
Storey,0.05,0.8,29,0.8571428571428571
Storey,0.1,0.5,38,0.8947368421052632
Storey,0.1,0.6,38,0.8947368421052632
Storey,0.1,0.7,38,0.8947368421052632
Storey,0.1,0.8,38,0.8947368421052632
Storey,0.1,0.5,38,0.8571428571428571
Storey,0.1,0.6,38,0.8571428571428571
Storey,0.1,0.7,38,0.8571428571428571
Storey,0.1,0.8,38,0.8571428571428571
RobustEL,0.01,0.5,17,0.9411764705882353
RobustEL,0.01,0.6,17,0.9411764705882353
RobustEL,0.01,0.7,17,0.9411764705882353
RobustEL,0.01,0.8,17,0.9411764705882353
RobustEL,0.01,0.5,17,0.9333333333333333
RobustEL,0.01,0.6,17,0.9333333333333333
RobustEL,0.01,0.7,17,0.9333333333333333
RobustEL,0.01,0.8,17,0.9333333333333333
RobustEL,0.03,0.5,24,0.9583333333333334
RobustEL,0.03,0.6,24,0.9583333333333334
RobustEL,0.03,0.7,24,0.9583333333333334
RobustEL,0.03,0.8,24,0.9583333333333334
RobustEL,0.03,0.5,24,0.9333333333333333
RobustEL,0.03,0.6,24,0.9333333333333333
RobustEL,0.03,0.7,24,0.9333333333333333
RobustEL,0.03,0.8,24,0.9333333333333333
RobustEL,0.05,0.5,29,0.8620689655172413
RobustEL,0.05,0.6,29,0.8620689655172413
RobustEL,0.05,0.7,29,0.8620689655172413
RobustEL,0.05,0.8,29,0.8620689655172413
RobustEL,0.05,0.5,29,0.8571428571428571
RobustEL,0.05,0.6,29,0.8571428571428571
RobustEL,0.05,0.7,29,0.8571428571428571
RobustEL,0.05,0.8,29,0.8571428571428571
RobustEL,0.1,0.5,38,0.8947368421052632
RobustEL,0.1,0.6,38,0.8947368421052632
RobustEL,0.1,0.7,38,0.8947368421052632
RobustEL,0.1,0.8,38,0.8947368421052632
RobustEL,0.1,0.5,38,0.8571428571428571
RobustEL,0.1,0.6,38,0.8571428571428571
RobustEL,0.1,0.7,38,0.8571428571428571
RobustEL,0.1,0.8,38,0.8571428571428571
