seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,26,0.1,0.0,0.0,90589.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.0,0.25,90589.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.0,0.75,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.0,1.5,90592.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.25,0.0,90589.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.25,0.25,90589.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.25,0.75,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.25,1.5,90592.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.5,0.0,90589.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.5,0.25,90589.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.5,0.75,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,0.5,1.5,90592.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,1.0,0.0,90589.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,1.0,0.25,90589.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,1.0,0.75,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.1,1.0,1.5,90592.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.3,0.0,0.0,90589.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.0,0.25,90590.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.0,0.75,90591.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.0,1.5,90592.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.25,0.0,90589.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.25,0.25,90590.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.25,0.75,90591.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.25,1.5,90592.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.5,0.0,90589.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.5,0.25,90590.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.5,0.75,90591.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,0.5,1.5,90592.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,1.0,0.0,90589.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,1.0,0.25,90590.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,1.0,0.75,90591.13914909109,"[1144, 2236]",27.41455080671585
7,26,0.3,1.0,1.5,90592.63914909109,"[1144, 2236]",27.41455080671585
7,26,0.6,0.0,0.0,90590.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.0,0.25,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.0,0.75,90591.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.0,1.5,90593.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.25,0.0,90590.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.25,0.25,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.25,0.75,90591.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.25,1.5,90593.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.5,0.0,90590.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.5,0.25,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.5,0.75,90591.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,0.5,1.5,90593.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,1.0,0.0,90590.23914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,1.0,0.25,90590.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,1.0,0.75,90591.73914909108,"[1144, 2236]",27.41455080671585
7,26,0.6,1.0,1.5,90593.23914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.0,0.0,90591.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.0,0.25,90591.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.0,0.75,90592.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.0,1.5,90594.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.25,0.0,90591.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.25,0.25,90591.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.25,0.75,90592.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.25,1.5,90594.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.5,0.0,90591.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.5,0.25,90591.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.5,0.75,90592.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,0.5,1.5,90594.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,1.0,0.0,90591.03914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,1.0,0.25,90591.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,1.0,0.75,90592.53914909108,"[1144, 2236]",27.41455080671585
7,26,1.0,1.0,1.5,90594.03914909108,"[1144, 2236]",27.41455080671585
7,52,0.1,0.0,0.0,90629.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.0,0.25,90630.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.0,0.75,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.0,1.5,90632.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.25,0.0,90629.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.25,0.25,90630.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.25,0.75,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.25,1.5,90632.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.5,0.0,90629.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.5,0.25,90630.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.5,0.75,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,0.5,1.5,90632.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,1.0,0.0,90629.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,1.0,0.25,90630.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,1.0,0.75,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.1,1.0,1.5,90632.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.0,0.0,90630.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.0,0.25,90630.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.0,0.75,90631.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.0,1.5,90633.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.25,0.0,90630.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.25,0.25,90630.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.25,0.75,90631.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.25,1.5,90633.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.5,0.0,90630.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.5,0.25,90630.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.5,0.75,90631.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,0.5,1.5,90633.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,1.0,0.0,90630.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,1.0,0.25,90630.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,1.0,0.75,90631.60711084909,"[1222, 1872]",0.8311924283189001
7,52,0.3,1.0,1.5,90633.10711084909,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.0,0.0,90630.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.0,0.25,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.0,0.75,90632.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.0,1.5,90633.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.25,0.0,90630.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.25,0.25,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.25,0.75,90632.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.25,1.5,90633.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.5,0.0,90630.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.5,0.25,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.5,0.75,90632.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,0.5,1.5,90633.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,1.0,0.0,90630.70711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,1.0,0.25,90631.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,1.0,0.75,90632.20711084908,"[1222, 1872]",0.8311924283189001
7,52,0.6,1.0,1.5,90633.70711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.0,0.0,90631.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.0,0.25,90632.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.0,0.75,90633.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.0,1.5,90634.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.25,0.0,90631.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.25,0.25,90632.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.25,0.75,90633.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.25,1.5,90634.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.5,0.0,90631.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.5,0.25,90632.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.5,0.75,90633.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,0.5,1.5,90634.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,1.0,0.0,90631.50711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,1.0,0.25,90632.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,1.0,0.75,90633.00711084908,"[1222, 1872]",0.8311924283189001
7,52,1.0,1.0,1.5,90634.50711084908,"[1222, 1872]",0.8311924283189001
7,78,0.1,0.0,0.0,90621.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.0,0.25,90621.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.0,0.75,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.0,1.5,90624.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.25,0.0,90621.42565038225,"[1118, 1872]",6.216766677272972
