lambda_l1,eta_fused,brier,log_loss,auc_roc,calibration_slope,calibration_intercept,kkt_residual,primal_dual_gap
0.001,0.0,0.17297375948049498,0.48876991009532156,1.0,0.16707805324158057,0.17035560641986552,0.5709180060937681,0.032962727099259376
0.001,0.05,0.16991796035150872,0.4816770432507154,1.0,0.17968157872628135,0.16970402097092688,0.5625561793437827,0.033205760707947576
0.001,0.1,0.17003066343680467,0.4817583323434912,1.0,0.17978575891164458,0.16956006732683365,0.5620951155605128,0.03322127742227933
0.001,0.2,0.17003066343680467,0.4817583323434912,1.0,0.17978575891164458,0.16956006732683365,0.5620951155605128,0.03322127742227933
0.005,0.0,0.1715952985646993,0.4864776293928324,1.0,0.1729664027553619,0.17026191826271528,0.5563948683786487,0.03311806104797137
0.005,0.05,0.1691368527061311,0.4812762229633646,1.0,0.18399757477898127,0.16979522878731707,0.5495202397204446,0.03334345084032163
0.005,0.1,0.16927020509122365,0.48145833616899136,1.0,0.1839358416961249,0.16968710430237888,0.5492313921390863,0.03335586332045619
0.005,0.2,0.16927020509122365,0.48145833616899136,1.0,0.1839358416961249,0.16968710430237888,0.5492313921390863,0.03335586332045619
0.01,0.0,0.17002271740158514,0.48435784879011806,1.0,0.18012678677745528,0.17030892953965068,0.539218017657526,0.033309804758293836
0.01,0.05,0.1685792173906587,0.4817508639793093,1.0,0.18913805856323487,0.16970112939602286,0.5340221493425162,0.03354374581196208
0.01,0.1,0.16862501546744207,0.4817996417164183,1.0,0.18904626470215097,0.16968419567710274,0.5339120283828899,0.033544023960766015
0.01,0.2,0.16862501546744207,0.4817996417164183,1.0,0.18904626470215097,0.16968419567710274,0.5339120283828899,0.033544023960766015
0.05,0.0,0.1667131181663359,0.4899739418691247,1.0,0.23017909728922548,0.16967823346019692,0.42624080705119877,0.03510355324131011
0.05,0.05,0.16675632757006326,0.4916139925617106,1.0,0.23658976262494166,0.16967823346019703,0.4263517169264475,0.03533614201398335
0.05,0.1,0.16675632757006326,0.4916139925617106,1.0,0.23658976262494166,0.16967823346019703,0.4263517169264475,0.03533614201398335
0.05,0.2,0.16675632757006326,0.4916139925617106,1.0,0.23658976262494166,0.16967823346019703,0.4263517169264475,0.03533614201398335
