seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
7,26,0.5,0.0,90581.9974704017,"[2132, 2158]",0.8206755507417256
7,26,0.5,0.5,90582.4974704017,"[2132, 2158]",0.3206755507417256
7,26,0.5,1.0,90582.81814595243,"[2392, 2418]",0.1793244492582744
7,26,0.5,2.0,90582.81814595243,"[2392, 2418]",1.1793244492582744
7,26,1.0,0.0,90582.9974704017,"[2132, 2158]",0.8206755507417256
7,26,1.0,0.5,90583.4974704017,"[2132, 2158]",0.3206755507417256
7,26,1.0,1.0,90583.81814595243,"[2392, 2418]",0.1793244492582744
7,26,1.0,2.0,90583.81814595243,"[2392, 2418]",1.1793244492582744
7,26,2.0,0.0,90584.9974704017,"[2132, 2158]",0.8206755507417256
7,26,2.0,0.5,90585.4974704017,"[2132, 2158]",0.3206755507417256
7,26,2.0,1.0,90585.81814595243,"[2392, 2418]",0.1793244492582744
7,26,2.0,2.0,90585.81814595243,"[2392, 2418]",1.1793244492582744
7,26,4.0,0.0,90588.9974704017,"[2132, 2158]",0.8206755507417256
7,26,4.0,0.5,90589.4974704017,"[2132, 2158]",0.3206755507417256
7,26,4.0,1.0,90589.81814595243,"[2392, 2418]",0.1793244492582744
7,26,4.0,2.0,90589.81814595243,"[2392, 2418]",1.1793244492582744
7,52,0.5,0.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,52,0.5,0.5,90590.03914909108,"[1144, 2236]",1.793746110954089
7,52,0.5,1.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,52,0.5,2.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,52,1.0,0.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,52,1.0,0.5,90591.03914909108,"[1144, 2236]",1.793746110954089
7,52,1.0,1.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,52,1.0,2.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,52,2.0,0.0,90593.03914909108,"[1144, 2236]",1.793746110954089
