lambda_l1,eta_fused,brier,log_loss,auc_roc,calibration_slope,calibration_intercept,kkt_residual,primal_dual_gap
0.0001,0.0,0.17175889466753977,0.48648776126022075,1.0,0.1714944482787317,0.17014133651476115,0.6045135424946884,0.033062178139322725
0.0001,0.0001,0.17175091012413837,0.4864620316999436,1.0,0.17150790521744813,0.1701426631734767,0.6044500197064795,0.033061869967039886
0.0001,0.0005,0.17172048959044964,0.4863604291824007,1.0,0.17155406924693298,0.1701479293678348,0.6041891296188121,0.03306038119664686
0.0001,0.001,0.17168544771930194,0.48623596086300824,1.0,0.17159634121790934,0.17015452844154047,0.6038458568110044,0.03305800101213864
0.0001,0.005,0.17148272025141997,0.48531079577097186,1.0,0.17150882906332526,0.1702145770383871,0.6007069765127273,0.03302470261774716
0.0005,0.0,0.17161798126044708,0.4862524291123815,1.0,0.172006543303149,0.17016363061781128,0.6027500493408178,0.033072591588166715
0.0005,0.0001,0.17161053596011877,0.48622793149300686,1.0,0.17201935013577932,0.17016470374863493,0.6026860454808867,0.03307229728363166
0.0005,0.0005,0.1715825761244722,0.4861321229416429,1.0,0.1720630977426745,0.1701687065862068,0.60242210078372,0.033070907664555824
0.0005,0.001,0.17155143040629575,0.48601642849483156,1.0,0.1721011954314151,0.17017322974030907,0.6020766857227081,0.03306866817771946
0.0005,0.005,0.17138687623894966,0.48517566467193507,1.0,0.17197887886897414,0.1702071111269865,0.5989332367609652,0.0330368397845144
0.001,0.0,0.17142950187859232,0.4859374200178965,1.0,0.17266566534275152,0.17020023675115822,0.6005653365582454,0.03308544034449719
0.001,0.0001,0.17142256953056467,0.4859142690909312,1.0,0.1726779861854073,0.17020105513959913,0.6005017725684849,0.03308517073932245
0.001,0.0005,0.17139616438478714,0.4858222530393025,1.0,0.17271953958257552,0.17020443597870916,0.6002409047205244,0.03308380639500978
0.001,0.001,0.17136737264243274,0.4857119894783472,1.0,0.17275423222842362,0.17020793371020249,0.5998966804020323,0.03308160287032397
0.001,0.005,0.17126259925866305,0.48499309093083337,1.0,0.17256612803008978,0.1702057599425065,0.5967239772502302,0.033051733663877106
0.005,0.0,0.17014863699203858,0.48406015527897295,1.0,0.17770533835564986,0.17047023285195917,0.583670038072866,0.03320005852962492
0.005,0.0001,0.17014551264478023,0.48404451596597853,1.0,0.1777158926942323,0.17046781969960448,0.5836110586964407,0.03319985649303078
0.005,0.0005,0.17013418197731572,0.4839817601891058,1.0,0.17775024824551383,0.17045838451193912,0.5833678280362824,0.03319872898007511
0.005,0.001,0.17012228883300676,0.4839048594854805,1.0,0.1777757129967032,0.1704470686895022,0.5830489810602763,0.033196754138234544
0.005,0.005,0.1700764041637706,0.4833178246583113,1.0,0.1774906996449555,0.17038690247500562,0.5802188612515091,0.03316648825777812
0.01,0.0,0.1690663570185254,0.48304997385064274,1.0,0.18397576423152764,0.17044193576970668,0.5641121893568664,0.03339098005587633
0.01,0.0001,0.16906359355032016,0.483037555295078,1.0,0.18398353960334166,0.17044009244112843,0.5640681857379702,0.0333907863868897
0.01,0.0005,0.16905377627434384,0.4829873578958503,1.0,0.18400469787713153,0.17043272070983706,0.5638843395050789,0.0333896371694772
0.01,0.001,0.16904369160106816,0.4829238914673597,1.0,0.18401394623302003,0.17042352274705366,0.5636409933063893,0.03338756133996122
0.01,0.005,0.1690298101361762,0.4824047810404783,1.0,0.18359050545439853,0.17035122661847812,0.5612962193096764,0.033352936959463425
